DATE,UNIDADE,QUANTIDADE
2023-02-11,DAC de Jequié,1014.0
2023-02-11,DAC de Joinville,252.0
2023-02-11,DAC de João Pessoa,4534.0
2023-02-11,DAC de Juazeiro,600.0
2023-02-11,DAC de Londrina,291.0
2023-02-11,DAC de Macapá,994.0
2023-02-11,DAC de Montes Claros,1236.0
2023-02-11,DAC de Mossoró,320.0
2023-02-11,DAC de Ponta Grossa,637.0
2023-02-11,DAC de Rio Largo,3523.0
2023-02-11,DAC de Santa Maria,936.0
2023-02-11,DAC de Santos,1863.0
2023-02-11,DAC de Serra,2551.0
2023-02-11,DAC de Socorro,3801.0
2023-02-11,DAC de São José,112.0
2023-02-11,DAC de São José do Rio Preto,1441.0
2023-02-11,DAC de Teresina,2274.0
2023-02-12,CO de Fortaleza,11200.0
2023-02-13,CO de Araucária,13410.0
2023-02-13,CO de Barueri,17289.0
2023-02-13,CO de Belém,14539.0
2023-02-13,CO de Brasília,5317.0
2023-02-13,CO de Campo Grande,7436.0
2023-02-13,CO de Canoas,17427.0
2023-02-13,CO de Capuava,11876.0
2023-02-13,CO de Cascavel,3614.0
2023-02-13,CO de Cuiabá,10189.0
2023-02-13,CO de Duque de Caxias,24211.0
2023-02-13,CO de Fortaleza,17665.0
2023-02-13,CO de Goiânia,8420.0
2023-02-13,CO de Gurupi,3630.0
2023-02-13,CO de Ibirité,16576.0
2023-02-13,CO de Jardinópolis,11170.0
2023-02-13,CO de Mataripe,18506.0
2023-02-13,CO de Natal,8327.0
2023-02-13,CO de Passo Fundo,5947.0
2023-02-13,CO de Paulínia,15677.0
2023-02-13,CO de Pelotas,4771.0
2023-02-13,CO de Suape,27596.0
2023-02-13,CO de São José dos Campos,8346.0
2023-02-13,CO de São Luís,15023.0
2023-02-13,CO de Uberlândia,7116.0
2023-02-13,DAC de Aracaju,1184.0
2023-02-13,DAC de Barra de São Francisco,1911.0
2023-02-13,DAC de Bauru,5143.0
2023-02-13,DAC de Caxias do Sul,2225.0
2023-02-13,DAC de Governador Valadares,1349.0
2023-02-13,DAC de Itajaí,3098.0
2023-02-13,DAC de Itaobim,2827.0
2023-02-13,DAC de Jequié,5141.0
2023-02-13,DAC de Joinville,1352.0
2023-02-13,DAC de João Pessoa,2073.0
2023-02-13,DAC de Juazeiro,3770.0
2023-02-13,DAC de Londrina,796.0
2023-02-13,DAC de Macapá,1342.0
2023-02-13,DAC de Montes Claros,2076.0
2023-02-13,DAC de Mossoró,1682.0
2023-02-13,DAC de Ponta Grossa,2058.0
2023-02-13,DAC de Rio Largo,5157.0
2023-02-13,DAC de Santa Maria,1373.0
2023-02-13,DAC de Santos,4386.0
2023-02-13,DAC de Serra,3499.0
2023-02-13,DAC de Socorro,7344.0
2023-02-13,DAC de São José,1232.0
2023-02-13,DAC de São José do Rio Preto,2701.0
2023-02-13,DAC de Teresina,3655.0
2023-02-14,CO de Araucária,21061.0
2023-02-14,CO de Barueri,20430.0
2023-02-14,CO de Belém,11639.0
2023-02-14,CO de Brasília,6031.0
2023-02-14,CO de Campo Grande,10038.0
2023-02-14,CO de Canoas,14091.0
2023-02-14,CO de Capuava,17426.0
2023-02-14,CO de Cascavel,4637.0
2023-02-14,CO de Cuiabá,6739.0
2023-02-14,CO de Duque de Caxias,23347.0
2023-02-14,CO de Fortaleza,17275.0
2023-02-14,CO de Goiânia,11668.0
2023-02-14,CO de Gurupi,3086.0
2023-02-14,CO de Ibirité,14754.0
2023-02-14,CO de Jardinópolis,8637.0
2023-02-14,CO de Mataripe,15209.0
2023-02-14,CO de Natal,10648.0
2023-02-14,CO de Passo Fundo,7840.0
2023-02-14,CO de Paulínia,17191.0
2023-02-14,CO de Pelotas,2686.0
2023-02-14,CO de Suape,28190.0
2023-02-14,CO de São José dos Campos,8061.0
2023-02-14,CO de São Luís,12186.0
2023-02-14,CO de Uberlândia,9786.0
2023-02-14,DAC de Aracaju,1995.0
2023-02-14,DAC de Barra de São Francisco,2688.0
2023-02-14,DAC de Bauru,3560.0
2023-02-14,DAC de Caxias do Sul,1233.0
2023-02-14,DAC de Governador Valadares,1874.0
2023-02-14,DAC de Itajaí,1612.0
2023-02-14,DAC de Itaobim,2593.0
2023-02-14,DAC de Jequié,5159.0
2023-02-14,DAC de Joinville,171.0
2023-02-14,DAC de João Pessoa,5985.0
2023-02-14,DAC de Juazeiro,1600.0
2023-02-14,DAC de Londrina,1736.0
2023-02-14,DAC de Macapá,855.0
2023-02-14,DAC de Montes Claros,3021.0
2023-02-14,DAC de Mossoró,1705.0
2023-02-14,DAC de Ponta Grossa,1058.0
2023-02-14,DAC de Rio Largo,4642.0
2023-02-14,DAC de Santa Maria,2345.0
2023-02-14,DAC de Santos,1550.0
2023-02-14,DAC de Serra,4249.0
2023-02-14,DAC de Socorro,3416.0
2023-02-14,DAC de São José,2058.0
2023-02-14,DAC de São José do Rio Preto,1113.0
2023-02-14,DAC de Teresina,2785.0
2023-02-15,CO de Araucária,9965.0
2023-02-15,CO de Barueri,12281.0
2023-02-15,CO de Belém,15122.0
2023-02-15,CO de Brasília,3349.0
2023-02-15,CO de Campo Grande,7866.0
