DATE,UNIDADE,QUANTIDADE,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,QUANTIDADE_LAG_1,QUANTIDADE_LAG_2,QUANTIDADE_MA_3
2023-10-21,CO de Araucária,3723.0,21,5,3,10,4,2023,8917.0,12039.0,9614.0
2023-10-23,CO de Araucária,5369.0,23,0,4,10,4,2023,3723.0,8917.0,8226.333
2023-10-24,CO de Araucária,9466.0,24,1,4,10,4,2023,5369.0,3723.0,6003.0
2023-10-25,CO de Araucária,10771.0,25,2,4,10,4,2023,9466.0,5369.0,6186.0
2023-10-26,CO de Araucária,9876.0,26,3,4,10,4,2023,10771.0,9466.0,8535.333
2023-10-27,CO de Araucária,5786.0,27,4,4,10,4,2023,9876.0,10771.0,10037.667
2023-10-28,CO de Araucária,4094.0,28,5,4,10,4,2023,5786.0,9876.0,8811.0
2023-10-30,CO de Araucária,12196.0,30,0,5,10,4,2023,4094.0,5786.0,6585.333
2023-10-31,CO de Araucária,7184.0,31,1,5,10,4,2023,12196.0,4094.0,7358.667
2023-11-01,CO de Araucária,9603.0,1,2,1,11,4,2023,7184.0,12196.0,7824.667
2023-11-03,CO de Araucária,10582.0,3,4,1,11,4,2023,9603.0,7184.0,9661.0
2023-11-04,CO de Araucária,8287.0,4,5,1,11,4,2023,10582.0,9603.0,9123.0
2023-11-06,CO de Araucária,13338.0,6,0,1,11,4,2023,8287.0,10582.0,9490.667
2023-11-07,CO de Araucária,10837.0,7,1,1,11,4,2023,13338.0,8287.0,10735.667
2023-11-08,CO de Araucária,9072.0,8,2,2,11,4,2023,10837.0,13338.0,10820.667
2023-11-09,CO de Araucária,8069.0,9,3,2,11,4,2023,9072.0,10837.0,11082.333
2023-11-10,CO de Araucária,8669.0,10,4,2,11,4,2023,8069.0,9072.0,9326.0
2023-11-11,CO de Araucária,7899.0,11,5,2,11,4,2023,8669.0,8069.0,8603.333
2023-11-13,CO de Araucária,8274.0,13,0,2,11,4,2023,7899.0,8669.0,8212.333
2023-11-14,CO de Araucária,8752.0,14,1,2,11,4,2023,8274.0,7899.0,8280.667
2023-11-16,CO de Araucária,13515.0,16,3,3,11,4,2023,8752.0,8274.0,8308.333
2023-11-17,CO de Araucária,8932.0,17,4,3,11,4,2023,13515.0,8752.0,10180.333
2023-11-18,CO de Araucária,4799.0,18,5,3,11,4,2023,8932.0,13515.0,10399.667
2023-11-20,CO de Araucária,9463.0,20,0,3,11,4,2023,4799.0,8932.0,9082.0
2023-11-21,CO de Araucária,6861.0,21,1,3,11,4,2023,9463.0,4799.0,7731.333
2023-11-22,CO de Araucária,9572.0,22,2,4,11,4,2023,6861.0,9463.0,7041.0
2023-11-23,CO de Araucária,8398.0,23,3,4,11,4,2023,9572.0,6861.0,8632.0
2023-11-24,CO de Araucária,9362.0,24,4,4,11,4,2023,8398.0,9572.0,8277.0
2023-11-25,CO de Araucária,7861.0,25,5,4,11,4,2023,9362.0,8398.0,9110.667
2023-11-27,CO de Araucária,10116.0,27,0,4,11,4,2023,7861.0,9362.0,8540.333
