DATE,TICKER,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,CLOSE_LAG_1,CLOSE_LAG_2,CLOSE_MA_3,XGB,MODEL_TYPE,ET,ADA,FORECAST,RUN_DATE
2024-07-03,TAEE4.SA,3,2,1,7,3,2024,11.56,11.49,11.503333333333332,11.5,XGBRegressor,,,11.5,2024-07-05
2024-07-04,TAEE4.SA,4,3,1,7,3,2024,11.500322341918945,11.56,11.51677411397298,11.45,XGBRegressor,,,11.45,2024-07-05
2024-07-05,TAEE4.SA,5,4,1,7,3,2024,11.44817066192627,11.500322341918945,11.50283100128174,11.4,XGBRegressor,,,11.4,2024-07-05
2024-07-08,TAEE4.SA,8,0,2,7,3,2024,11.401650428771973,11.44817066192627,11.450047492980957,11.35,XGBRegressor,,,11.35,2024-07-05
2024-07-09,TAEE4.SA,9,1,2,7,3,2024,11.347439765930176,11.401650428771973,11.399086952209473,11.28,XGBRegressor,,,11.28,2024-07-05
2024-07-10,TAEE4.SA,10,2,2,7,3,2024,11.277976036071777,11.347439765930176,11.342354774475098,11.27,XGBRegressor,,,11.27,2024-07-05
2024-07-03,TAEE4.SA,3,2,1,7,3,2024,11.56,11.49,11.503333333333332,,ExtraTreesRegressor,11.49,,11.49,2024-07-05
2024-07-04,TAEE4.SA,4,3,1,7,3,2024,11.486866245914623,11.56,11.512288748638207,,ExtraTreesRegressor,11.44,,11.44,2024-07-05
2024-07-05,TAEE4.SA,5,4,1,7,3,2024,11.437411060123711,11.486866245914623,11.494759102012779,,ExtraTreesRegressor,11.42,,11.42,2024-07-05
2024-07-08,TAEE4.SA,8,0,2,7,3,2024,11.419229200091324,11.437411060123711,11.447835502043219,,ExtraTreesRegressor,11.4,,11.4,2024-07-05
2024-07-09,TAEE4.SA,9,1,2,7,3,2024,11.399410505600407,11.419229200091324,11.418683588605148,,ExtraTreesRegressor,11.38,,11.38,2024-07-05
2024-07-10,TAEE4.SA,10,2,2,7,3,2024,11.384794965001827,11.399410505600407,11.401144890231185,,ExtraTreesRegressor,11.38,,11.38,2024-07-05
