EVAL_DATE,RUN_DATE,MODEL_NAME,TICKER,MAE,RMSE,MAPE,BIAS,FORECAST,ACTUAL
2024-06-07,2024-06-06,XGB,CSMG3.SA,2.92,2.92,0.148,-0.08,16.8,19.72
2024-06-07,2024-06-06,ET,CSMG3.SA,0.13,0.13,0.007,0.003,19.85,19.72
2024-06-07,2024-06-06,XGB,PETR4.SA,5.75,5.75,0.156,-0.084,31.19,36.94
2024-06-07,2024-06-06,ET,PETR4.SA,1.32,1.32,0.036,0.018,38.26,36.94
2024-06-07,2024-06-06,XGB,BRSR6.SA,1.37,1.37,0.125,-0.067,9.61,10.98
2024-06-07,2024-06-06,ET,BRSR6.SA,0.09,0.09,0.008,0.004,11.07,10.98
2024-06-10,2024-06-07,XGB,BOVA11.SA,16.03,16.03,0.137,-0.073,101.32,117.35
2024-06-10,2024-06-07,ET,BOVA11.SA,0.64,0.64,0.005,0.003,117.99,117.35
2024-06-10,2024-06-07,XGB,BCFF11.SA,1.07,1.07,0.126,-0.067,7.42,8.49
2024-06-10,2024-06-07,ET,BCFF11.SA,0.18,0.18,0.021,0.01,8.67,8.49
2024-06-10,2024-06-07,XGB,TAEE4.SA,1.39,1.39,0.124,-0.066,9.83,11.22
2024-06-10,2024-06-07,ET,TAEE4.SA,0.09,0.09,0.008,0.004,11.31,11.22
2024-06-10,2024-06-07,XGB,EGIE3.SA,8.31,8.31,0.191,-0.106,35.17,43.48
2024-06-10,2024-06-07,ET,EGIE3.SA,0.46,0.46,0.011,0.005,43.94,43.48
2024-06-10,2024-06-07,XGB,BBSE3.SA,5.43,5.43,0.166,-0.091,27.19,32.62
2024-06-10,2024-06-07,ET,BBSE3.SA,0.22,0.22,0.007,0.003,32.84,32.62
2024-06-10,2024-06-07,XGB,CSMG3.SA,2.9,2.9,0.147,-0.079,16.8,19.7
2024-06-10,2024-06-07,ET,CSMG3.SA,0.1,0.1,0.005,-0.003,19.6,19.7
2024-06-10,2024-06-07,XGB,PETR4.SA,6.3,6.3,0.168,-0.092,31.2,37.5
2024-06-10,2024-06-07,ET,PETR4.SA,0.82,0.82,0.022,-0.011,36.68,37.5
2024-06-10,2024-06-07,XGB,BRSR6.SA,1.4,1.4,0.128,-0.069,9.51,10.91
2024-06-10,2024-06-07,ET,BRSR6.SA,0.09,0.09,0.008,0.004,11.0,10.91
2024-06-11,2024-06-10,XGB,BOVA11.SA,16.96,16.96,0.144,-0.078,100.9,117.86
2024-06-11,2024-06-10,ET,BOVA11.SA,0.28,0.28,0.002,-0.001,117.58,117.86
2024-06-11,2024-06-10,XGB,BCFF11.SA,1.08,1.08,0.127,-0.068,7.4,8.48
2024-06-11,2024-06-10,ET,BCFF11.SA,0.07,0.07,0.008,0.004,8.55,8.48
2024-06-11,2024-06-10,XGB,TAEE4.SA,1.45,1.45,0.129,-0.069,9.8,11.25
2024-06-11,2024-06-10,ET,TAEE4.SA,0.06,0.06,0.005,0.003,11.31,11.25
2024-06-11,2024-06-10,XGB,EGIE3.SA,8.43,8.43,0.193,-0.107,35.17,43.6
2024-06-11,2024-06-10,ET,EGIE3.SA,0.2,0.2,0.005,0.002,43.8,43.6
2024-06-11,2024-06-10,XGB,BBSE3.SA,5.44,5.44,0.167,-0.091,27.2,32.64
2024-06-11,2024-06-10,ET,BBSE3.SA,0.12,0.12,0.004,0.002,32.76,32.64
2024-06-11,2024-06-10,XGB,CSMG3.SA,2.87,2.87,0.146,-0.079,16.81,19.68
2024-06-11,2024-06-10,ET,CSMG3.SA,0.03,0.03,0.002,-0.001,19.65,19.68
2024-06-11,2024-06-10,XGB,PETR4.SA,6.65,6.65,0.176,-0.096,31.22,37.87
2024-06-11,2024-06-10,ET,PETR4.SA,0.67,0.67,0.018,-0.009,37.2,37.87
2024-06-11,2024-06-10,XGB,BRSR6.SA,1.5,1.5,0.136,-0.073,9.51,11.01
2024-06-11,2024-06-10,ET,BRSR6.SA,0.01,0.01,0.001,-0.0,11.0,11.01
2024-06-12,2024-06-11,XGB,BOVA11.SA,15.46,15.46,0.133,-0.071,101.04,116.5
2024-06-12,2024-06-11,ET,BOVA11.SA,0.86,0.86,0.007,0.004,117.36,116.5
2024-06-12,2024-06-11,XGB,BCFF11.SA,1.09,1.09,0.128,-0.069,7.4,8.49
2024-06-12,2024-06-11,ET,BCFF11.SA,0.06,0.06,0.007,0.004,8.55,8.49
2024-06-12,2024-06-11,XGB,TAEE4.SA,1.42,1.42,0.127,-0.068,9.79,11.21
2024-06-12,2024-06-11,ET,TAEE4.SA,0.04,0.04,0.004,0.002,11.25,11.21
2024-06-12,2024-06-11,XGB,EGIE3.SA,7.94,7.94,0.184,-0.101,35.21,43.15
2024-06-12,2024-06-11,ET,EGIE3.SA,0.64,0.64,0.015,0.007,43.79,43.15
2024-06-12,2024-06-11,XGB,BBSE3.SA,5.14,5.14,0.159,-0.086,27.21,32.35
2024-06-12,2024-06-11,ET,BBSE3.SA,0.41,0.41,0.013,0.006,32.76,32.35
2024-06-12,2024-06-11,XGB,CSMG3.SA,2.63,2.63,0.135,-0.073,16.81,19.44
2024-06-12,2024-06-11,ET,CSMG3.SA,0.2,0.2,0.01,0.005,19.64,19.44
2024-06-12,2024-06-11,XGB,PETR4.SA,5.02,5.02,0.138,-0.074,31.23,36.25
2024-06-12,2024-06-11,ET,PETR4.SA,1.32,1.32,0.036,0.018,37.57,36.25
2024-06-12,2024-06-11,XGB,BRSR6.SA,1.43,1.43,0.131,-0.07,9.51,10.94
2024-06-12,2024-06-11,ET,BRSR6.SA,0.11,0.11,0.01,0.005,11.05,10.94
2024-06-13,2024-06-12,XGB,BOVA11.SA,2.0,2.0,0.017,-0.009,114.56,116.56
